epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.8552,0.90943,2.08133,0.9344,0.97163,0.82091,0.89808,0.79435,0.50019,1.52623,0.8354,0.00329825,0.00329825,0.00329825
2,65.4622,0.85358,0.96106,0.90047,0.96305,0.93293,0.94758,0.83919,0.48364,0.6472,0.84097,0.00661517,0.00661517,0.00661517
3,95.1449,0.87303,0.86326,0.90891,0.97777,0.96174,0.97386,0.84566,0.50501,0.55873,0.84297,0.00991559,0.00991559,0.00991559
4,122.685,0.86719,0.74726,0.91894,0.88514,0.92359,0.94251,0.81969,0.50982,0.64467,0.85552,0.00992575,0.00992575,0.00992575
5,149.972,0.82604,0.62753,0.90623,0.81319,0.88415,0.81453,0.70751,0.53406,0.58888,0.87893,0.009901,0.009901,0.009901
6,179.16,0.78375,0.57192,0.90086,0.9994,0.9369,0.97017,0.84068,0.50767,0.41216,0.87317,0.00987625,0.00987625,0.00987625
7,206.68,0.77219,0.54127,0.89748,0.89866,0.89024,0.92972,0.80142,0.51278,0.46826,0.88316,0.0098515,0.0098515,0.0098515
8,232.411,0.75644,0.51808,0.89223,0.95231,0.96712,0.95309,0.8495,0.46309,0.46589,0.87846,0.00982675,0.00982675,0.00982675
9,258.51,0.73744,0.49615,0.8872,0.96564,0.5,0.63356,0.57339,0.45438,1.76233,0.84307,0.009802,0.009802,0.009802
10,284.257,0.73033,0.48229,0.88652,0.9977,0.96341,0.97855,0.88501,0.43014,0.35352,0.84448,0.00977725,0.00977725,0.00977725
11,309.893,0.72332,0.4717,0.88555,0.9914,0.95732,0.9793,0.88548,0.43653,0.34989,0.85428,0.0097525,0.0097525,0.0097525
12,335.383,0.7002,0.45722,0.87578,0.96795,0.96341,0.97506,0.88923,0.40584,0.32617,0.83852,0.00972775,0.00972775,0.00972775
13,360.909,0.68598,0.44487,0.87909,0.98777,0.96951,0.98428,0.90066,0.40248,0.31513,0.8439,0.009703,0.009703,0.009703
14,386.446,0.69013,0.44077,0.87916,0.98677,0.96341,0.97742,0.8883,0.43066,0.36413,0.85586,0.00967825,0.00967825,0.00967825
15,411.992,0.68274,0.43939,0.87288,0.99529,0.95732,0.97793,0.89613,0.39965,0.32057,0.84539,0.0096535,0.0096535,0.0096535
16,437.446,0.68438,0.42635,0.87539,0.9627,0.95851,0.96612,0.86718,0.42787,0.36891,0.85922,0.00962875,0.00962875,0.00962875
17,463.144,0.66297,0.41551,0.87507,0.97863,0.96341,0.97196,0.88108,0.38903,0.29459,0.83649,0.009604,0.009604,0.009604
18,489.107,0.66962,0.4173,0.86821,0.99076,0.96341,0.98338,0.9035,0.39631,0.29137,0.83707,0.00957925,0.00957925,0.00957925
19,514.851,0.64322,0.40761,0.86227,0.99692,0.96341,0.98922,0.90995,0.38378,0.28282,0.83018,0.0095545,0.0095545,0.0095545
20,540.47,0.65544,0.40722,0.86556,0.99164,0.96341,0.98725,0.91468,0.37766,0.28853,0.82435,0.00952975,0.00952975,0.00952975
21,566.033,0.64495,0.40215,0.86636,0.96828,0.95425,0.97984,0.90907,0.3686,0.30586,0.82821,0.009505,0.009505,0.009505
22,591.504,0.6364,0.39462,0.86474,0.99215,0.96341,0.97856,0.88361,0.4194,0.29477,0.84327,0.00948025,0.00948025,0.00948025
23,617.027,0.63548,0.39484,0.86185,0.97995,0.96341,0.98165,0.91605,0.37456,0.26403,0.82667,0.0094555,0.0094555,0.0094555
24,642.567,0.62751,0.3882,0.85893,0.97151,0.96341,0.96407,0.87471,0.41881,0.29169,0.84124,0.00943075,0.00943075,0.00943075
25,668.155,0.63595,0.38924,0.8614,0.96809,0.96341,0.97377,0.90216,0.36354,0.26954,0.82612,0.009406,0.009406,0.009406
26,693.705,0.62665,0.38076,0.86058,0.97959,0.95732,0.97162,0.89817,0.37378,0.2766,0.83273,0.00938125,0.00938125,0.00938125
27,719.299,0.61862,0.38096,0.85989,0.99824,0.96341,0.98914,0.91725,0.37639,0.26575,0.83346,0.0093565,0.0093565,0.0093565
28,744.83,0.61903,0.37839,0.85775,0.97446,0.97561,0.98301,0.90471,0.37077,0.26266,0.83443,0.00933175,0.00933175,0.00933175
29,770.47,0.61891,0.3743,0.85899,0.98081,0.96341,0.98831,0.92161,0.35386,0.25698,0.82348,0.009307,0.009307,0.009307
30,795.842,0.60966,0.3758,0.85625,0.98458,0.96341,0.98056,0.90081,0.37188,0.26122,0.83264,0.00928225,0.00928225,0.00928225
31,821.285,0.60329,0.36759,0.85657,0.99281,0.97332,0.99243,0.9191,0.36177,0.24602,0.83122,0.0092575,0.0092575,0.0092575
32,846.56,0.61322,0.37014,0.85911,0.98068,0.96847,0.98202,0.91631,0.34852,0.24877,0.82528,0.00923275,0.00923275,0.00923275
33,871.963,0.6014,0.36603,0.85365,0.98578,0.9564,0.96233,0.9008,0.36345,0.26918,0.82235,0.009208,0.009208,0.009208
34,897.275,0.61154,0.36716,0.85664,0.97474,0.97429,0.98645,0.93572,0.33059,0.25384,0.81553,0.00918325,0.00918325,0.00918325
35,922.675,0.59921,0.3622,0.85719,0.97499,0.98715,0.99255,0.93231,0.35502,0.25387,0.82151,0.0091585,0.0091585,0.0091585
36,948.087,0.5884,0.3568,0.85199,0.99318,0.96812,0.98719,0.92664,0.32488,0.23948,0.81666,0.00913375,0.00913375,0.00913375
37,973.582,0.59374,0.35671,0.85641,0.99796,0.96341,0.98816,0.92385,0.34868,0.23581,0.82664,0.009109,0.009109,0.009109
38,998.913,0.59701,0.35428,0.85564,0.99291,0.98097,0.99193,0.93527,0.33437,0.23881,0.81994,0.00908425,0.00908425,0.00908425
39,1024.3,0.58249,0.35328,0.85126,0.99893,0.96341,0.983,0.91863,0.36468,0.25305,0.84152,0.0090595,0.0090595,0.0090595
40,1049.55,0.5773,0.3511,0.84789,0.99702,0.96341,0.98876,0.9189,0.35756,0.24865,0.82398,0.00903475,0.00903475,0.00903475
41,1074.9,0.58031,0.3461,0.84946,0.99814,0.96341,0.98476,0.94075,0.30377,0.22066,0.80544,0.00901,0.00901,0.00901
42,1100.27,0.58661,0.34973,0.84782,0.9765,0.96341,0.97044,0.91717,0.32308,0.23478,0.81083,0.00898525,0.00898525,0.00898525
43,1125.64,0.58107,0.34624,0.84724,0.9632,0.97634,0.98773,0.93886,0.32468,0.23382,0.81056,0.0089605,0.0089605,0.0089605
44,1151.08,0.57902,0.34487,0.85478,0.99925,0.97561,0.9874,0.93623,0.32835,0.22602,0.81614,0.00893575,0.00893575,0.00893575
45,1176.37,0.56413,0.34007,0.84898,0.99911,0.96951,0.9889,0.93898,0.32524,0.22956,0.81308,0.008911,0.008911,0.008911
