epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,890.573,0.63213,0.37788,0.82346,0.99742,0.96341,0.98247,0.91861,0.33604,0.24922,0.80331,0.0089605,0.0089605,0.0089605
44,909.884,0.63248,0.37709,0.82477,0.99241,0.9731,0.98259,0.93178,0.33148,0.2396,0.80488,0.00893575,0.00893575,0.00893575
45,928.065,0.62008,0.36744,0.82567,0.99938,0.96951,0.98124,0.91246,0.33898,0.25874,0.80415,0.008911,0.008911,0.008911
46,948.368,0.62317,0.37065,0.82239,0.99881,0.96341,0.97847,0.91299,0.35361,0.25479,0.80731,0.00888625,0.00888625,0.00888625
47,967.492,0.61204,0.36825,0.82544,0.9989,0.96906,0.98257,0.92486,0.33791,0.24196,0.80489,0.0088615,0.0088615,0.0088615
48,988.256,0.6106,0.36898,0.82319,0.99739,0.96341,0.9805,0.91591,0.34187,0.24732,0.80569,0.00883675,0.00883675,0.00883675
49,1012.82,0.59811,0.36274,0.82212,0.99946,0.96945,0.98421,0.92819,0.33793,0.24204,0.80138,0.008812,0.008812,0.008812
50,1034.81,0.61098,0.36375,0.82137,0.99711,0.96341,0.97991,0.92565,0.3275,0.24279,0.80563,0.00878725,0.00878725,0.00878725
51,1057.56,0.60814,0.36364,0.82533,0.99077,0.97561,0.98225,0.93455,0.31602,0.22593,0.79872,0.0087625,0.0087625,0.0087625
52,1080.7,0.60172,0.36126,0.82365,0.99866,0.96341,0.98336,0.92371,0.33498,0.23259,0.80548,0.00873775,0.00873775,0.00873775
53,1103.63,0.60428,0.36576,0.82009,0.99172,0.96341,0.98423,0.93061,0.33132,0.23576,0.80412,0.008713,0.008713,0.008713
54,1123.71,0.59703,0.35685,0.81958,0.99951,0.96907,0.98319,0.93153,0.31091,0.2243,0.80293,0.00868825,0.00868825,0.00868825
55,1142.72,0.58785,0.35402,0.8192,0.99694,0.96341,0.98187,0.93102,0.31533,0.23482,0.8,0.0086635,0.0086635,0.0086635
56,1161.99,0.59361,0.35456,0.817,0.98779,0.98171,0.98343,0.93416,0.31447,0.23899,0.80419,0.00863875,0.00863875,0.00863875
57,1182.25,0.60486,0.36021,0.82147,0.99888,0.96341,0.98865,0.93691,0.31436,0.22779,0.79862,0.008614,0.008614,0.008614
58,1201.94,0.59934,0.35488,0.82073,0.99965,0.96861,0.9821,0.92214,0.32626,0.23209,0.80004,0.00858925,0.00858925,0.00858925
59,1223.39,0.58986,0.35236,0.81914,0.99905,0.96341,0.98016,0.92499,0.33038,0.23595,0.79781,0.0085645,0.0085645,0.0085645
60,1243.64,0.59352,0.35228,0.82136,0.99266,0.969,0.98392,0.93147,0.31645,0.22886,0.80183,0.00853975,0.00853975,0.00853975
61,1265.09,0.58353,0.34816,0.82068,0.99955,0.96886,0.98339,0.93149,0.32345,0.22323,0.80066,0.008515,0.008515,0.008515
62,1286.61,0.58395,0.34985,0.8156,0.98656,0.97514,0.98318,0.92812,0.31036,0.21672,0.7988,0.00849025,0.00849025,0.00849025
63,1306.3,0.585,0.34718,0.81658,0.99855,0.97561,0.98194,0.92753,0.3232,0.22819,0.79961,0.0084655,0.0084655,0.0084655
64,1326.33,0.58326,0.34909,0.81757,0.99939,0.96918,0.98238,0.92923,0.31054,0.21858,0.80315,0.00844075,0.00844075,0.00844075
65,1347.35,0.58668,0.34506,0.82052,0.99924,0.96341,0.98465,0.93771,0.30609,0.2175,0.80144,0.008416,0.008416,0.008416
66,1368.31,0.57918,0.34861,0.8205,0.99886,0.96341,0.98321,0.93709,0.30922,0.21736,0.79996,0.00839125,0.00839125,0.00839125
67,1387.78,0.58466,0.34855,0.8194,0.99929,0.97558,0.98525,0.92678,0.32046,0.21788,0.80035,0.0083665,0.0083665,0.0083665
68,1408.22,0.58743,0.34634,0.82045,0.99803,0.96341,0.98613,0.93681,0.30372,0.21882,0.79865,0.00834175,0.00834175,0.00834175
69,1429.41,0.57546,0.34299,0.81945,0.99909,0.96341,0.989,0.94344,0.30779,0.22099,0.79623,0.008317,0.008317,0.008317
70,1450.15,0.58361,0.34713,0.82118,0.99427,0.96341,0.98555,0.93931,0.29674,0.21593,0.79671,0.00829225,0.00829225,0.00829225
71,1472.6,0.56962,0.33687,0.819,0.99234,0.96341,0.98341,0.93083,0.30691,0.21409,0.79743,0.0082675,0.0082675,0.0082675
72,1494.72,0.57363,0.34203,0.82377,0.99837,0.96341,0.98244,0.93774,0.29359,0.20972,0.79599,0.00824275,0.00824275,0.00824275
73,1516.1,0.57191,0.34088,0.81726,0.99298,0.96859,0.98884,0.94845,0.29488,0.21229,0.79721,0.008218,0.008218,0.008218
