epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.882,0.92474,1.75335,0.91878,0.98887,0.95732,0.97237,0.86665,0.42166,0.70996,0.84255,0.00331395,0.00331395,0.00331395
2,66.7187,0.88542,0.94526,0.89535,0.97005,0.94401,0.97885,0.87536,0.43293,0.58934,0.84247,0.00663083,0.00663083,0.00663083
3,96.4898,0.91317,0.86159,0.90498,0.90423,0.89634,0.9081,0.78473,0.51647,0.67627,0.87715,0.00993122,0.00993122,0.00993122
