epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,62.5651,0.975,0.61861,0.86314,0.92522,0.80483,0.84758,0.52321,1.02054,0.63137,0.92763,0.00144145,0.00144145,0.00144145
43,63.7102,1.01621,0.62811,0.87158,0.87861,0.815,0.86736,0.53409,0.96858,0.59123,0.9166,0.00143595,0.00143595,0.00143595
44,64.8339,1.01881,0.60404,0.86293,0.90918,0.80488,0.8711,0.54861,0.95181,0.58814,0.91144,0.00143045,0.00143045,0.00143045
45,66.0011,0.99523,0.60553,0.86581,0.96767,0.76912,0.83246,0.55018,0.98883,0.59668,0.91041,0.00142495,0.00142495,0.00142495
46,67.1527,0.95123,0.58161,0.85589,0.88725,0.80555,0.86177,0.53309,0.95074,0.58898,0.91299,0.00141945,0.00141945,0.00141945
47,68.2664,0.94572,0.60551,0.84229,0.85055,0.75056,0.8178,0.5256,0.95405,0.58861,0.90922,0.00141395,0.00141395,0.00141395
48,69.4386,0.93694,0.58015,0.85802,0.85219,0.73374,0.81685,0.55478,0.89508,0.59747,0.9011,0.00140845,0.00140845,0.00140845
49,70.5708,0.93254,0.57512,0.83624,0.87888,0.75267,0.82047,0.53709,0.91106,0.61397,0.89946,0.00140295,0.00140295,0.00140295
50,71.7529,0.94717,0.60076,0.84705,0.88626,0.72154,0.78261,0.50261,0.93504,0.64898,0.90226,0.00139745,0.00139745,0.00139745
51,72.8621,0.99722,0.59116,0.8414,0.90146,0.68941,0.78241,0.51718,0.89566,0.60107,0.89599,0.00139195,0.00139195,0.00139195
52,74.0168,0.94892,0.58437,0.86025,0.86234,0.71409,0.8023,0.50795,0.8893,0.57721,0.89634,0.00138644,0.00138644,0.00138644
53,75.1429,0.89001,0.55722,0.83398,0.86192,0.71409,0.771,0.50721,0.91953,0.57942,0.89986,0.00138094,0.00138094,0.00138094
54,76.2776,0.95427,0.57012,0.84646,0.91851,0.7309,0.77993,0.50424,0.91774,0.60359,0.90026,0.00137544,0.00137544,0.00137544
55,77.4013,0.89365,0.56768,0.84325,0.93286,0.72792,0.78213,0.4987,0.91724,0.59026,0.90071,0.00136994,0.00136994,0.00136994
56,78.5869,0.91624,0.5701,0.86153,0.99137,0.76558,0.83235,0.51323,0.9137,0.53622,0.90536,0.00136444,0.00136444,0.00136444
57,79.7646,0.88266,0.54281,0.82854,0.98221,0.75905,0.83806,0.50857,0.89168,0.52508,0.9046,0.00135894,0.00135894,0.00135894
58,80.9108,0.8747,0.54136,0.8619,0.98646,0.75983,0.84691,0.51649,0.86779,0.53655,0.89455,0.00135344,0.00135344,0.00135344
59,82.077,0.8623,0.5387,0.83439,0.98463,0.75675,0.84346,0.52445,0.85933,0.5447,0.89574,0.00134794,0.00134794,0.00134794
60,83.2796,0.87302,0.55789,0.8351,0.94014,0.78634,0.87053,0.53939,0.87189,0.51603,0.90326,0.00134244,0.00134244,0.00134244
61,84.4318,0.83928,0.52771,0.84833,0.92172,0.79217,0.87471,0.53804,0.86023,0.50857,0.89663,0.00133693,0.00133693,0.00133693
62,85.5815,0.92602,0.58835,0.83761,0.88488,0.7714,0.86188,0.54301,0.85435,0.52511,0.89184,0.00133143,0.00133143,0.00133143
63,86.6936,0.88539,0.54351,0.84226,0.86931,0.77775,0.8432,0.54171,0.85189,0.51376,0.89295,0.00132593,0.00132593,0.00132593
64,87.8353,0.89993,0.54718,0.83813,0.90495,0.75325,0.82432,0.5308,0.90126,0.52293,0.90739,0.00132043,0.00132043,0.00132043
65,88.9544,0.8704,0.53883,0.85042,0.95051,0.74219,0.82574,0.53643,0.91933,0.54164,0.90873,0.00131493,0.00131493,0.00131493
66,90.1061,0.89591,0.55476,0.84115,0.94066,0.75339,0.86811,0.55592,0.90337,0.5345,0.90642,0.00130943,0.00130943,0.00130943
67,91.2363,0.89837,0.54342,0.85087,0.85363,0.8386,0.87463,0.54699,0.91631,0.53307,0.9053,0.00130393,0.00130393,0.00130393
68,92.3949,0.88177,0.52722,0.82442,0.93786,0.81844,0.87393,0.56281,0.902,0.5289,0.90465,0.00129843,0.00129843,0.00129843
