epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,77.9734,1.00086,0.52842,0.83915,0.8488,0.72722,0.78558,0.50886,1.01735,0.58899,0.81952,0.00144145,0.00144145,0.00144145
43,79.499,1.08607,0.53534,0.8218,0.84934,0.73148,0.79011,0.51151,1.00496,0.56216,0.81718,0.00143595,0.00143595,0.00143595
44,81.003,0.99281,0.53474,0.83302,0.82928,0.72783,0.78427,0.50507,1.03016,0.56626,0.81903,0.00143045,0.00143045,0.00143045
45,82.5208,1.05508,0.53227,0.83174,0.86174,0.74982,0.77927,0.50398,0.97959,0.50762,0.81821,0.00142495,0.00142495,0.00142495
46,84.0061,0.99422,0.51569,0.82808,0.88535,0.73686,0.78184,0.50965,0.92132,0.48792,0.81182,0.00141945,0.00141945,0.00141945
47,85.5294,0.94726,0.49143,0.81625,0.93593,0.75635,0.81277,0.529,0.93976,0.49989,0.80926,0.00141395,0.00141395,0.00141395
48,87.1698,0.97517,0.50724,0.83361,0.92433,0.77234,0.80707,0.5143,0.93905,0.49571,0.8107,0.00140845,0.00140845,0.00140845
49,88.7008,1.06838,0.54707,0.80561,0.86543,0.75926,0.77912,0.51783,0.92842,0.47182,0.81343,0.00140295,0.00140295,0.00140295
50,90.2221,0.96155,0.49765,0.81453,0.88629,0.76852,0.7961,0.52924,0.93633,0.46565,0.81317,0.00139745,0.00139745,0.00139745
51,92.3145,0.96663,0.50975,0.8182,0.88376,0.77407,0.82203,0.54179,0.93501,0.44315,0.81191,0.00139195,0.00139195,0.00139195
52,94.9271,0.99155,0.49741,0.83262,0.86582,0.76307,0.80526,0.54239,0.92039,0.45489,0.81408,0.00138644,0.00138644,0.00138644
53,97.4085,0.90581,0.48035,0.83397,0.92801,0.74576,0.81245,0.56998,0.87841,0.4633,0.80757,0.00138094,0.00138094,0.00138094
54,100.363,0.87917,0.48547,0.81784,0.90807,0.76806,0.82155,0.56453,0.87186,0.4607,0.80967,0.00137544,0.00137544,0.00137544
55,102.323,0.89803,0.46828,0.81737,0.91703,0.77963,0.83177,0.56096,0.88138,0.46118,0.8092,0.00136994,0.00136994,0.00136994
56,103.886,0.8893,0.47739,0.81528,0.8855,0.81453,0.84268,0.55241,0.90724,0.45095,0.81056,0.00136444,0.00136444,0.00136444
57,105.481,0.90518,0.4785,0.8206,0.92036,0.79139,0.84268,0.56757,0.86447,0.44738,0.80641,0.00135894,0.00135894,0.00135894
58,107.165,0.87307,0.4583,0.81913,0.93535,0.7962,0.84613,0.57047,0.85257,0.44379,0.80515,0.00135344,0.00135344,0.00135344
59,108.879,0.87004,0.45594,0.8047,0.94197,0.79437,0.84959,0.56616,0.85855,0.43284,0.80677,0.00134794,0.00134794,0.00134794
60,110.423,1.01101,0.48882,0.80974,0.9397,0.77489,0.84622,0.55131,0.87441,0.41622,0.81099,0.00134244,0.00134244,0.00134244
61,111.961,0.91555,0.46327,0.80863,0.83949,0.77778,0.81996,0.54714,0.86843,0.43363,0.81166,0.00133693,0.00133693,0.00133693
62,113.466,0.8807,0.47484,0.81157,0.88735,0.81149,0.84514,0.57211,0.81618,0.40621,0.81008,0.00133143,0.00133143,0.00133143
63,115.166,0.89768,0.48979,0.826,0.94875,0.76437,0.8405,0.58495,0.83577,0.4206,0.80864,0.00132593,0.00132593,0.00132593
64,116.811,0.89788,0.46327,0.80738,0.84977,0.81192,0.83723,0.5834,0.86031,0.41866,0.81054,0.00132043,0.00132043,0.00132043
65,118.335,0.83904,0.45811,0.8043,0.93559,0.76563,0.82226,0.57751,0.87727,0.43792,0.8112,0.00131493,0.00131493,0.00131493
66,119.827,0.85024,0.46078,0.80892,0.90099,0.78704,0.80946,0.58014,0.84642,0.47453,0.81039,0.00130943,0.00130943,0.00130943
67,121.399,0.86952,0.46256,0.80742,0.89709,0.78466,0.80031,0.55464,0.84495,0.51676,0.80789,0.00130393,0.00130393,0.00130393
68,122.92,0.84097,0.47052,0.81999,0.87207,0.76436,0.78884,0.54657,0.84951,0.55753,0.80875,0.00129843,0.00129843,0.00129843
69,124.438,0.81528,0.45661,0.80127,0.85679,0.76362,0.79047,0.5625,0.82503,0.58343,0.80938,0.00129293,0.00129293,0.00129293
70,125.956,0.90299,0.47236,0.82204,0.87236,0.78612,0.79519,0.54708,0.80429,0.5407,0.80452,0.00128742,0.00128742,0.00128742
71,127.454,0.86871,0.4715,0.81066,0.89798,0.79259,0.81007,0.54957,0.85766,0.53681,0.80252,0.00128192,0.00128192,0.00128192
72,128.98,0.86255,0.45623,0.83191,0.89677,0.8035,0.83655,0.58083,0.79662,0.45812,0.79958,0.00127642,0.00127642,0.00127642
73,130.463,0.83739,0.44169,0.80641,0.91614,0.80438,0.85199,0.57167,0.8456,0.44551,0.80258,0.00127092,0.00127092,0.00127092
74,132.164,0.91747,0.462,0.81985,0.90894,0.82037,0.84927,0.5828,0.82244,0.42377,0.80053,0.00126542,0.00126542,0.00126542
75,133.727,0.896,0.46368,0.82349,0.84131,0.80556,0.82399,0.5698,0.87211,0.43654,0.80373,0.00125992,0.00125992,0.00125992
76,135.248,0.97796,0.46307,0.82042,0.85528,0.7963,0.82484,0.58171,0.82299,0.42418,0.80196,0.00125442,0.00125442,0.00125442
77,136.733,0.86923,0.45712,0.81858,0.86895,0.79969,0.83176,0.59547,0.80089,0.40528,0.80149,0.00124892,0.00124892,0.00124892
78,138.424,0.90504,0.44955,0.81569,0.88494,0.80926,0.83647,0.58942,0.81339,0.40401,0.80228,0.00124342,0.00124342,0.00124342
79,140.601,0.8304,0.43314,0.82276,0.89903,0.8,0.84034,0.58686,0.81715,0.40197,0.80312,0.00123791,0.00123791,0.00123791
80,142.987,0.88685,0.47988,0.82578,0.91826,0.80926,0.85649,0.58836,0.81345,0.39146,0.8042,0.00123241,0.00123241,0.00123241
81,145.52,0.81076,0.43189,0.81506,0.94721,0.80926,0.86337,0.59896,0.79739,0.38622,0.80312,0.00122691,0.00122691,0.00122691
82,148.495,0.81414,0.42015,0.81719,0.93416,0.80556,0.85911,0.60274,0.81281,0.40389,0.80527,0.00122141,0.00122141,0.00122141
83,150.579,0.93284,0.46212,0.81584,0.8989,0.7963,0.85339,0.61003,0.80209,0.40134,0.80363,0.00121591,0.00121591,0.00121591
84,152.263,0.85888,0.43278,0.81135,0.90813,0.80556,0.85314,0.60618,0.77473,0.39706,0.80244,0.00121041,0.00121041,0.00121041
85,153.987,0.79651,0.4388,0.81428,0.93332,0.7963,0.84383,0.60944,0.77616,0.39609,0.80191,0.00120491,0.00120491,0.00120491
86,155.525,0.79434,0.43155,0.80533,0.95594,0.80388,0.86988,0.62261,0.7672,0.38058,0.80004,0.00119941,0.00119941,0.00119941
87,157.178,0.82927,0.42976,0.78682,0.9418,0.7963,0.8724,0.6278,0.75424,0.37706,0.79517,0.00119391,0.00119391,0.00119391
88,158.82,0.81342,0.44759,0.80918,0.97561,0.81481,0.87334,0.62347,0.76028,0.37685,0.79652,0.0011884,0.0011884,0.0011884
89,160.318,0.83411,0.42226,0.81162,0.9676,0.80161,0.86837,0.62275,0.75617,0.38121,0.79738,0.0011829,0.0011829,0.0011829
90,161.942,0.81888,0.42692,0.80891,0.98031,0.79564,0.86897,0.63834,0.7732,0.37821,0.7984,0.0011774,0.0011774,0.0011774
91,163.604,0.84641,0.43714,0.80669,0.93062,0.82157,0.88018,0.62434,0.78597,0.39314,0.79921,0.0011719,0.0011719,0.0011719
92,165.117,0.79717,0.43563,0.81597,0.89965,0.82817,0.87832,0.62037,0.81505,0.40892,0.80083,0.0011664,0.0011664,0.0011664
93,166.617,0.79597,0.42927,0.79947,0.89208,0.80299,0.85472,0.58369,0.83953,0.40951,0.80415,0.0011609,0.0011609,0.0011609
94,168.178,0.84717,0.45106,0.81247,0.81168,0.82222,0.834,0.5776,0.84893,0.42188,0.80635,0.0011554,0.0011554,0.0011554
95,169.709,0.86223,0.4465,0.79532,0.83501,0.81634,0.84324,0.60171,0.81211,0.41389,0.80463,0.0011499,0.0011499,0.0011499
96,171.188,0.84295,0.42993,0.80993,0.85935,0.82213,0.85087,0.61701,0.80177,0.39782,0.80409,0.0011444,0.0011444,0.0011444
97,172.712,0.80433,0.43078,0.81784,0.87602,0.7963,0.85912,0.60694,0.83652,0.49245,0.80446,0.00113889,0.00113889,0.00113889
98,174.209,0.80169,0.4361,0.80654,0.85315,0.7386,0.85291,0.60206,0.77151,0.6196,0.8034,0.00113339,0.00113339,0.00113339
99,175.725,0.84705,0.44631,0.80687,0.76634,0.74326,0.85039,0.58331,0.789,0.6198,0.80429,0.00112789,0.00112789,0.00112789
100,177.204,0.83784,0.44973,0.80286,0.92739,0.75151,0.84522,0.5764,0.8279,0.48689,0.80595,0.00112239,0.00112239,0.00112239
101,178.724,0.88986,0.46089,0.80196,0.87452,0.80926,0.83576,0.5702,0.82485,0.41755,0.80769,0.00111689,0.00111689,0.00111689
102,180.228,0.86169,0.47069,0.81083,0.89916,0.78704,0.85559,0.56408,0.85005,0.41526,0.80604,0.00111139,0.00111139,0.00111139
103,181.743,0.85187,0.46264,0.8005,0.93394,0.81015,0.87269,0.57959,0.88537,0.42533,0.80864,0.00110589,0.00110589,0.00110589
104,183.32,0.91485,0.46472,0.80436,0.93345,0.82407,0.87706,0.62524,0.78665,0.40646,0.80228,0.00110039,0.00110039,0.00110039
105,184.896,0.83188,0.44684,0.81007,0.97107,0.83162,0.89312,0.61995,0.82031,0.39869,0.80196,0.00109489,0.00109489,0.00109489
106,186.655,0.86952,0.44625,0.81322,0.9813,0.77337,0.84697,0.58228,0.91626,0.45994,0.81164,0.00108938,0.00108938,0.00108938
107,188.342,1.00112,0.48864,0.80762,0.94614,0.7667,0.8203,0.59606,0.84189,0.4752,0.80941,0.00108388,0.00108388,0.00108388
108,189.896,0.89428,0.48255,0.80023,0.90403,0.77083,0.81464,0.59857,0.75976,0.42238,0.80412,0.00107838,0.00107838,0.00107838
109,191.693,0.92144,0.47756,0.80273,0.95843,0.80184,0.83736,0.59261,0.79047,0.38424,0.80013,0.00107288,0.00107288,0.00107288
110,193.388,0.9138,0.46076,0.82501,0.96054,0.78978,0.85196,0.61347,0.76842,0.3923,0.79752,0.00106738,0.00106738,0.00106738
