epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,152.274,1.06648,0.55651,0.81932,1,0.99989,0.995,0.69295,0.89078,0.3871,0.90112,0.00148959,0.00148959,0.00148959
45,155.05,1.08577,0.54782,0.82445,0.99838,1,0.995,0.75201,0.89099,0.38131,0.89663,0.00148546,0.00148546,0.00148546
46,157.977,1.02382,0.53829,0.83055,0.99766,1,0.995,0.72779,1.09813,0.39955,0.90176,0.00148134,0.00148134,0.00148134
47,161.623,1.12742,0.54844,0.81877,0.99776,1,0.995,0.65916,1.27663,0.43233,0.9132,0.00147721,0.00147721,0.00147721
48,164.844,1.10722,0.55426,0.81916,0.99399,1,0.995,0.68295,0.98862,0.39663,0.90228,0.00147309,0.00147309,0.00147309
49,168.084,1.1063,0.54246,0.82041,0.99755,1,0.995,0.71674,0.95665,0.35478,0.90286,0.00146896,0.00146896,0.00146896
50,172.318,1.11835,0.54407,0.81622,0.99759,1,0.995,0.75418,0.84646,0.36808,0.89591,0.00146483,0.00146483,0.00146483
51,176.268,1.0978,0.56229,0.80762,0.99543,1,0.995,0.72046,1.22631,0.49217,0.90107,0.00146071,0.00146071,0.00146071
52,179.499,1.09468,0.55874,0.81839,0.99771,1,0.995,0.73337,0.92654,0.48061,0.89595,0.00145658,0.00145658,0.00145658
53,182.642,1.04345,0.52807,0.82926,0.99667,1,0.995,0.75532,1.09525,0.41981,0.89881,0.00145246,0.00145246,0.00145246
54,185.946,1.03468,0.51433,0.81358,0.99746,1,0.995,0.72918,0.999,0.37701,0.89596,0.00144833,0.00144833,0.00144833
55,189.352,1.03216,0.53011,0.81757,0.99775,1,0.995,0.75198,1.04574,0.39172,0.89548,0.00144421,0.00144421,0.00144421
56,192.549,1.00299,0.5316,0.81972,0.96834,1,0.99443,0.73287,1.25915,0.45078,0.89984,0.00144008,0.00144008,0.00144008
57,195.228,1.02123,0.51315,0.82309,0.97136,0.99777,0.99443,0.76345,0.9411,0.37332,0.89644,0.00143595,0.00143595,0.00143595
58,198.666,1.01203,0.53283,0.81225,0.96884,1,0.99443,0.74593,1.0819,0.38603,0.89994,0.00143183,0.00143183,0.00143183
59,201.701,1.0296,0.52292,0.80804,0.99803,1,0.995,0.74611,1.36863,0.47783,0.90321,0.0014277,0.0014277,0.0014277
60,204.921,1.07324,0.53573,0.82547,1,0.99977,0.995,0.73833,0.89647,0.3677,0.89109,0.00142358,0.00142358,0.00142358
61,208.735,0.99641,0.53437,0.81099,0.998,1,0.995,0.73866,0.85565,0.36503,0.89339,0.00141945,0.00141945,0.00141945
62,211.734,1.03793,0.53031,0.82378,0.99844,1,0.995,0.72611,1.06616,0.40564,0.89851,0.00141532,0.00141532,0.00141532
63,214.515,1.01503,0.53743,0.81505,0.99716,1,0.995,0.69516,1.16409,0.41765,0.9074,0.0014112,0.0014112,0.0014112
64,217.333,1.01522,0.5329,0.80188,0.99857,1,0.995,0.71929,1.01139,0.41966,0.90127,0.00140707,0.00140707,0.00140707
65,220.24,1.0101,0.50889,0.82808,1,0.99709,0.995,0.73564,1.02287,0.44046,0.89818,0.00140295,0.00140295,0.00140295
66,223.188,0.99741,0.51457,0.82022,0.99909,1,0.995,0.78976,0.8983,0.366,0.8927,0.00139882,0.00139882,0.00139882
67,226.214,1.01381,0.52137,0.82382,0.99711,1,0.995,0.76297,0.95374,0.37643,0.89814,0.0013947,0.0013947,0.0013947
68,229.473,0.99509,0.5009,0.8197,0.99812,1,0.995,0.75643,0.85186,0.3887,0.89269,0.00139057,0.00139057,0.00139057
69,232.552,1.03339,0.51421,0.8249,0.99814,1,0.995,0.76583,1.152,0.40681,0.89964,0.00138644,0.00138644,0.00138644
70,235.538,1.02172,0.51823,0.81135,0.96951,1,0.99357,0.74136,1.04691,0.37924,0.89798,0.00138232,0.00138232,0.00138232
71,238.582,1.02363,0.51296,0.81172,0.96943,1,0.99443,0.78182,0.8708,0.3429,0.89606,0.00137819,0.00137819,0.00137819
72,241.526,0.98378,0.52749,0.81796,0.9984,1,0.995,0.73986,0.95683,0.39404,0.90025,0.00137407,0.00137407,0.00137407
73,244.757,0.98104,0.52499,0.81196,0.99768,1,0.995,0.75218,0.90592,0.3599,0.89449,0.00136994,0.00136994,0.00136994
74,248.35,1.00347,0.50934,0.8086,0.99881,1,0.995,0.74547,0.9158,0.34927,0.8977,0.00136581,0.00136581,0.00136581
75,251.924,0.98496,0.50877,0.81567,1,0.99775,0.995,0.75944,0.92254,0.37661,0.89869,0.00136169,0.00136169,0.00136169
76,254.818,0.99289,0.49332,0.81304,0.99867,1,0.995,0.77862,0.94,0.33803,0.89406,0.00135756,0.00135756,0.00135756
77,257.661,0.93723,0.48914,0.81093,0.99804,1,0.995,0.75678,1.05674,0.39812,0.89352,0.00135344,0.00135344,0.00135344
78,260.928,0.92837,0.48293,0.8161,0.99628,1,0.995,0.77025,0.86834,0.33225,0.89146,0.00134931,0.00134931,0.00134931
