epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.3962,1.02425,1.75715,0.90208,0.94704,0.96315,0.95962,0.83931,0.47242,0.76724,0.8117,0.00331395,0.00331395,0.00331395
2,57.6903,0.99862,0.90891,0.88138,0.90229,0.90244,0.91914,0.76352,0.51452,0.71021,0.82904,0.00663083,0.00663083,0.00663083
3,80.0723,1.05373,0.85356,0.89167,0.98737,0.95122,0.96335,0.81446,0.52717,0.58485,0.83519,0.00993122,0.00993122,0.00993122
4,103.494,1.03967,0.81046,0.89454,0.96738,0.96143,0.95994,0.82027,0.52827,0.54523,0.82976,0.00992575,0.00992575,0.00992575
5,126.165,0.98052,0.72979,0.88457,0.97323,0.94512,0.96388,0.8235,0.51129,0.49432,0.83989,0.009901,0.009901,0.009901
6,147.729,0.94584,0.6652,0.87854,0.97619,0.96341,0.95014,0.80131,0.58503,0.47205,0.85267,0.00987625,0.00987625,0.00987625
7,170.36,0.90112,0.61687,0.8708,0.99695,0.96341,0.97011,0.8347,0.50718,0.44553,0.8372,0.0098515,0.0098515,0.0098515
8,192.664,0.88148,0.59839,0.86814,0.96877,0.9573,0.96962,0.85671,0.45417,0.44042,0.83103,0.00982675,0.00982675,0.00982675
9,216.408,0.86376,0.57609,0.86011,0.98927,0.96341,0.97202,0.85033,0.45628,0.41528,0.82256,0.009802,0.009802,0.009802
10,238.842,0.84118,0.55079,0.85875,0.99854,0.96341,0.96909,0.87007,0.42034,0.36004,0.81836,0.00977725,0.00977725,0.00977725
11,261.606,0.832,0.53678,0.85627,0.9907,0.95732,0.96819,0.86449,0.45465,0.37632,0.82197,0.0097525,0.0097525,0.0097525
12,283.609,0.80423,0.52112,0.85663,0.9804,0.95369,0.96429,0.85097,0.43499,0.3747,0.81962,0.00972775,0.00972775,0.00972775
13,306.273,0.79171,0.51106,0.85361,0.9981,0.96308,0.97252,0.87632,0.40816,0.34431,0.81741,0.009703,0.009703,0.009703
14,328.143,0.79796,0.50341,0.8509,0.99811,0.96341,0.96939,0.86127,0.44721,0.34177,0.82539,0.00967825,0.00967825,0.00967825
15,350.034,0.77048,0.48797,0.84581,0.99816,0.96341,0.96976,0.87135,0.43193,0.34279,0.82262,0.0096535,0.0096535,0.0096535
16,372.866,0.76155,0.47664,0.84595,0.99858,0.96341,0.97759,0.87875,0.40581,0.32077,0.81413,0.00962875,0.00962875,0.00962875
17,395.924,0.7563,0.4756,0.84251,0.99137,0.96951,0.97878,0.88831,0.4157,0.31618,0.81724,0.009604,0.009604,0.009604
18,417.874,0.74317,0.46032,0.84015,0.99531,0.96341,0.97801,0.89104,0.40507,0.32661,0.82263,0.00957925,0.00957925,0.00957925
19,440.71,0.73948,0.45532,0.84148,0.93608,0.96341,0.95029,0.85432,0.39989,0.35157,0.81315,0.0095545,0.0095545,0.0095545
20,463.963,0.72598,0.45059,0.8425,0.99859,0.96341,0.97472,0.89338,0.3729,0.29359,0.8099,0.00952975,0.00952975,0.00952975
21,486.861,0.72764,0.45123,0.83921,0.99894,0.96341,0.97711,0.89707,0.40102,0.30712,0.81176,0.009505,0.009505,0.009505
22,509.635,0.71846,0.44461,0.83844,0.99836,0.96341,0.97509,0.88642,0.38986,0.30954,0.82049,0.00948025,0.00948025,0.00948025
23,532.56,0.71553,0.44506,0.83593,0.99922,0.96341,0.97238,0.8835,0.38513,0.29781,0.81197,0.0094555,0.0094555,0.0094555
24,556.102,0.69994,0.43389,0.83968,0.99965,0.96789,0.97825,0.90501,0.4066,0.29182,0.81972,0.00943075,0.00943075,0.00943075
25,579.521,0.70273,0.43185,0.83891,0.99796,0.96341,0.97791,0.89904,0.37936,0.29108,0.81163,0.009406,0.009406,0.009406
26,602.79,0.69432,0.42671,0.83548,0.99807,0.96341,0.98099,0.90503,0.36566,0.28713,0.81015,0.00938125,0.00938125,0.00938125
27,626.112,0.69697,0.42445,0.83427,0.99694,0.96341,0.97228,0.90409,0.36457,0.29039,0.80699,0.0093565,0.0093565,0.0093565
28,647.953,0.6912,0.4242,0.83454,0.99797,0.96904,0.97766,0.90445,0.36557,0.28637,0.80377,0.00933175,0.00933175,0.00933175
29,669.746,0.68182,0.41545,0.83206,0.99591,0.96341,0.96934,0.88726,0.37389,0.30053,0.8093,0.009307,0.009307,0.009307
30,691.73,0.68634,0.41868,0.83285,0.99931,0.96932,0.98514,0.90633,0.38575,0.28157,0.81395,0.00928225,0.00928225,0.00928225
31,713.43,0.68861,0.41783,0.83459,0.9852,0.96341,0.96476,0.87764,0.3874,0.32617,0.81806,0.0092575,0.0092575,0.0092575
32,735.118,0.67525,0.41317,0.83212,0.99916,0.96341,0.98436,0.91077,0.36421,0.27612,0.80729,0.00923275,0.00923275,0.00923275
33,756.855,0.68113,0.41231,0.83183,0.99904,0.96898,0.98114,0.91241,0.36184,0.26829,0.80053,0.009208,0.009208,0.009208
34,778.704,0.66462,0.40721,0.83187,0.99928,0.96341,0.97537,0.9064,0.36575,0.28709,0.80836,0.00918325,0.00918325,0.00918325
35,800.506,0.66339,0.4042,0.82769,0.99917,0.96904,0.98628,0.91118,0.37004,0.25694,0.80826,0.0091585,0.0091585,0.0091585
36,823.477,0.66981,0.40044,0.83064,0.99806,0.96341,0.98225,0.91366,0.35844,0.26822,0.8048,0.00913375,0.00913375,0.00913375
37,847.745,0.6611,0.39918,0.82754,0.99319,0.97335,0.98387,0.91091,0.37529,0.26998,0.80818,0.009109,0.009109,0.009109
38,872.046,0.65489,0.39438,0.83175,0.99765,0.96341,0.97539,0.90012,0.35613,0.26513,0.80773,0.00908425,0.00908425,0.00908425
39,896.454,0.65211,0.39259,0.8278,0.9992,0.96341,0.97827,0.90026,0.36621,0.25793,0.80644,0.0090595,0.0090595,0.0090595
40,921.416,0.64473,0.38999,0.82456,0.99922,0.96341,0.98326,0.91759,0.36395,0.25882,0.80584,0.00903475,0.00903475,0.00903475
41,945.329,0.65163,0.3918,0.82583,0.99602,0.96341,0.97312,0.90347,0.37368,0.27604,0.80638,0.00901,0.00901,0.00901
42,969.094,0.63877,0.38114,0.82412,0.9993,0.96341,0.9849,0.91903,0.35796,0.24788,0.8078,0.00898525,0.00898525,0.00898525
43,991.162,0.64368,0.387,0.82377,0.99894,0.96341,0.98276,0.92241,0.34641,0.25101,0.80317,0.0089605,0.0089605,0.0089605
44,1012.69,0.64551,0.3859,0.82582,0.985,0.96341,0.97747,0.91665,0.32906,0.254,0.80663,0.00893575,0.00893575,0.00893575
45,1036.39,0.63544,0.37866,0.82724,0.99822,0.96341,0.98005,0.91882,0.34117,0.25917,0.80576,0.008911,0.008911,0.008911
46,1058.99,0.63966,0.38014,0.82266,0.99902,0.96908,0.9835,0.91967,0.33664,0.25167,0.80315,0.00888625,0.00888625,0.00888625
47,1080.9,0.62325,0.37644,0.8254,0.99804,0.96341,0.98129,0.91403,0.35346,0.25859,0.80686,0.0088615,0.0088615,0.0088615
48,1101.7,0.62424,0.37833,0.82365,0.99931,0.96341,0.98059,0.92067,0.34941,0.25506,0.80663,0.00883675,0.00883675,0.00883675
49,1124.12,0.61437,0.37496,0.82363,0.99711,0.96341,0.97959,0.91744,0.3454,0.24803,0.80361,0.008812,0.008812,0.008812
50,1147.69,0.62431,0.37689,0.82175,0.97877,0.96341,0.96793,0.89281,0.36135,0.26543,0.80936,0.00878725,0.00878725,0.00878725
51,1170.06,0.62889,0.37535,0.8266,0.99901,0.96341,0.98132,0.92602,0.33594,0.25066,0.79887,0.0087625,0.0087625,0.0087625
52,1193.26,0.62071,0.37313,0.8235,0.99919,0.96341,0.98805,0.92343,0.34762,0.24869,0.8027,0.00873775,0.00873775,0.00873775
53,1216.17,0.62006,0.37425,0.82151,0.99881,0.96341,0.98096,0.92351,0.32878,0.24894,0.80211,0.008713,0.008713,0.008713
